locator,C,R,E,U,P,T,A*
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
4G14Z0,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
C06QNB,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
J6AU45,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
J6AU45,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
J6AU45,0,0,0.57,0.15,0.72,0.7,1
J6AU45,0,0,0.57,0.15,0.72,0.7,1
4G14Z0,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
3B2B2N,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
3B2B2N,0,0,0.57,0.15,0.72,0.7,1
3B2B2N,0,0,0.57,0.15,0.72,0.7,1
C06QNB,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
9C7779,0,0,0.57,0.15,0.72,0.7,1
KGAU4W,0,0,0.57,0.15,0.72,0.7,1
C06QNB,0,0,0.57,0.15,0.72,0.7,1
3B2B2N,0,0,0.57,0.15,0.72,0.7,1
6SR9HJ,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
6SR9HJ,0,0,0.57,0.15,0.72,0.7,1
9C7779,0,0,0.57,0.15,0.72,0.7,1
9C7779,0.001,0,0.57,0.15,0.72,0.7,0.99988
9C7779,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
0K3EQG,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
0K3EQG,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
J6AU45,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
D4LMDD,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
BPX753,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0.003,0,0.57,0.15,0.72,0.7,0.99964
291NCZ,0.002,0,0.57,0.15,0.72,0.7,0.99976
10V0PX,0.003,0,0.57,0.15,0.72,0.7,0.99964
3B2B2N,0.003,0,0.57,0.15,0.72,0.7,0.99964
0XS07U,0.003,0,0.57,0.15,0.72,0.7,0.99964
ZBA8RF,0.012,0,0.57,0.15,0.72,0.7,0.99856
ZBA8RF,0.012,0,0.57,0.15,0.72,0.7,0.99856
NXJTMU,0.011,0,0.57,0.15,0.72,0.7,0.99868
NXJTMU,0.011,0,0.57,0.15,0.72,0.7,0.99868
E1B88P,0.018,0,0.57,0.15,0.72,0.7,0.99784
DQVB1H,0.017,0,0.57,0.15,0.72,0.7,0.99796
E1B88P,0.018,0,0.57,0.15,0.72,0.7,0.99784
DQVB1H,0.017,0,0.57,0.15,0.72,0.7,0.99796
43DCW3,0.02,0,0.57,0.15,0.72,0.7,0.9976
43DCW3,0.02,0,0.57,0.15,0.72,0.7,0.9976
AFS8QY,0.023,0,0.57,0.15,0.72,0.7,0.99724
AFS8QY,0.023,0,0.57,0.15,0.72,0.7,0.99724
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
Z10B4C,0,0.333,0.57,0.15,0.72,0.7,0.94006
5UZP5V,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
43QX9P,0,0.333,0.57,0.15,0.72,0.7,0.94006
24LPFP,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
BC90EU,0,0.333,0.57,0.15,0.72,0.7,0.94006
6PTZ7A,0,0.333,0.57,0.15,0.72,0.7,0.94006
6PTZ7A,0,0.333,0.57,0.15,0.72,0.7,0.94006
24LPFP,0,0.333,0.57,0.15,0.72,0.7,0.94006
24LPFP,0,0.333,0.57,0.15,0.72,0.7,0.94006
24LPFP,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
MENPK7,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0,0.333,0.57,0.15,0.72,0.7,0.94006
GXC72M,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
6GA4ZL,0,0.333,0.57,0.15,0.72,0.7,0.94006
GXC72M,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
24LPFP,0,0.333,0.57,0.15,0.72,0.7,0.94006
6PTZ7A,0,0.333,0.57,0.15,0.72,0.7,0.94006
GXC72M,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
43QX9P,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
MENPK7,0,0.333,0.57,0.15,0.72,0.7,0.94006
MENPK7,0,0.333,0.57,0.15,0.72,0.7,0.94006
MENPK7,0,0.333,0.57,0.15,0.72,0.7,0.94006
Z10B4C,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
Z10B4C,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
5UZP5V,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
5UZP5V,0,0.333,0.57,0.15,0.72,0.7,0.94006
Z10B4C,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
43QX9P,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0,0.333,0.57,0.15,0.72,0.7,0.94006
73E0NN,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
6PTZ7A,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
AHMGMQ,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
BS30X0,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
1KFUL8,0,0.333,0.57,0.15,0.72,0.7,0.94006
GXC72M,0,0.333,0.57,0.15,0.72,0.7,0.94006
GXC72M,0,0.333,0.57,0.15,0.72,0.7,0.94006
BC90EU,0,0.333,0.57,0.15,0.72,0.7,0.94006
BC90EU,0,0.333,0.57,0.15,0.72,0.7,0.94006
84R7MZ,0,0.333,0.57,0.15,0.72,0.7,0.94006
84R7MZ,0,0.333,0.57,0.15,0.72,0.7,0.94006
5P0LVL,0.003,0.333,0.57,0.15,0.72,0.7,0.9397
5P0LVL,0.003,0.333,0.57,0.15,0.72,0.7,0.9397
5E28R1,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
5E28R1,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
N29UJP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
5E28R1,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
5E28R1,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
07F8SX,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
CF0GJM,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
CF0GJM,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
CF0GJM,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
CF0GJM,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
0JGFEP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
0JGFEP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
0JGFEP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
0JGFEP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
PTLYTQ,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
PTLYTQ,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
PTLYTQ,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
M7TM99,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
M7TM99,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
G657A0,1,0,0.57,0.15,0.72,0.7,0.88
G657A0,1,0,0.57,0.15,0.72,0.7,0.88
G657A0,1,0,0.57,0.15,0.72,0.7,0.88
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
N29UJP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
CF0GJM,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GX5D8H,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
0JGFEP,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
M7TM99,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
G657A0,1,0,0.57,0.15,0.72,0.7,0.88
PTLYTQ,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GQ3CCB,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GQ3CCB,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
GQ3CCB,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
07F8SX,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
07F8SX,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
07F8SX,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
KQWA02,0,0.667,0.57,0.15,0.72,0.7,0.8799399999999999
57EVZL,0,1,0.57,0.15,0.72,0.7,0.82
63LTUF,0,1,0.57,0.15,0.72,0.7,0.82
U7JYSC,0,1,0.57,0.15,0.72,0.7,0.82
U7JYSC,0,1,0.57,0.15,0.72,0.7,0.82
GGBXFC,0,1,0.57,0.15,0.72,0.7,0.82
GGBXFC,0,1,0.57,0.15,0.72,0.7,0.82
GGBXFC,0,1,0.57,0.15,0.72,0.7,0.82
63LTUF,0,1,0.57,0.15,0.72,0.7,0.82
63LTUF,0,1,0.57,0.15,0.72,0.7,0.82
57EVZL,0,1,0.57,0.15,0.72,0.7,0.82
57EVZL,0,1,0.57,0.15,0.72,0.7,0.82
U7JYSC,0,1,0.57,0.15,0.72,0.7,0.82
U7JYSC,0,1,0.57,0.15,0.72,0.7,0.82
ZNJ73A,0.02,1,0.57,0.15,0.72,0.7,0.8176
ZNJ73A,0.02,1,0.57,0.15,0.72,0.7,0.8176
