locator,C,R,E,U,P,T,A*
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
5BZQ3Y,0,0,0.57,0.15,0.72,0.7,1
9C7779,0.001,0,0.57,0.15,0.72,0.7,0.99988
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
3B2B2N,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
3L35FQ,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
KGAU4W,0,0,0.57,0.15,0.72,0.7,1
Z5004D,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
3C8PQF,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
DQFVUS,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
Q3VGJG,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
10V0PX,0,0,0.57,0.15,0.72,0.7,1
Z5004D,0,0,0.57,0.15,0.72,0.7,1
KZHZMF,0,0,0.57,0.15,0.72,0.7,1
YBEYJH,0,0,0.57,0.15,0.72,0.7,1
D4LMDD,0,0,0.57,0.15,0.72,0.7,1
UAGEAL,0,0,0.57,0.15,0.72,0.7,1
9EJ924,0,0,0.57,0.15,0.72,0.7,1
0K3EQG,0,0,0.57,0.15,0.72,0.7,1
6SR9HJ,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
D4LMDD,0,0,0.57,0.15,0.72,0.7,1
D4LMDD,0,0,0.57,0.15,0.72,0.7,1
JK8AZA,0,0,0.57,0.15,0.72,0.7,1
D4LMDD,0,0,0.57,0.15,0.72,0.7,1
CSH6RF,0,0,0.57,0.15,0.72,0.7,1
Z5004D,0,0,0.57,0.15,0.72,0.7,1
Z5004D,0,0,0.57,0.15,0.72,0.7,1
4G14Z0,0,0,0.57,0.15,0.72,0.7,1
0XS07U,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
4G14Z0,0,0,0.57,0.15,0.72,0.7,1
Z5004D,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
291NCZ,0,0,0.57,0.15,0.72,0.7,1
3HG4RC,0,0,0.57,0.15,0.72,0.7,1
